 7 220 814 0     3.455
 7 220 815 0     2.419
 7 220 816 0     1.758
 7 220 817 0     1.178
 7 220 818 0     0.388
 7 220 819 0     0.614
 7 220 820 0     0.713
 7 220 821 0     0.916
 7 220 822 0     1.975
 7 220 823 0     2.596
 7 220 824 0     2.987
 8 220 8 1 0     3.385
 8 220 8 2 0     2.954
 8 220 8 3 0     3.037
 8 220 8 4 0     2.376
 8 220 8 5 0     1.611
 8 220 8 6 0     1.719
 8 220 8 7 0     1.341
 8 220 8 8 0     1.206
 8 220 8 9 0     1.498
 8 220 810 0     2.530
 8 220 811 0     2.742
 8 220 812 0     3.619
 8 220 813 0     3.273
 8 220 814 0     3.449
 8 220 815 0     3.221
 8 220 816 0     2.162
 8 220 817 0     1.930
 8 220 818 0     1.216
 8 220 819 0     0.692
 8 220 820 0     0.819
 8 220 821 0     1.097
 8 220 822 0     1.529
 8 220 823 0     2.364
 8 220 824 0     2.745
 9 220 8 1 0     3.298
 9 220 8 2 0     3.561
 9 220 8 3 0     3.483
 9 220 8 4 0     3.102
 9 220 8 5 0     1.947
 9 220 8 6 0     1.653
 9 220 8 7 0     1.522
 9 220 8 8 0     0.903
 9 220 8 9 0     1.052
 9 220 810 0     1.358
 9 220 811 0     2.309
 9 220 812 0     3.175
 9 220 813 0     3.035
 9 220 814 0     3.756
 9 220 815 0     3.107
 9 220 816 0     2.915
 9 220 817 0     2.140
 9 220 818 0     1.441
 9 220 819 0     0.830
 9 220 820 0     0.884
 9 220 821 0     0.450
 9 220 822 0     1.294
 9 220 823 0     1.701
 9 220 824 0     2.151
10 220 8 1 0     3.037
10 220 8 2 0     3.087
10 220 8 3 0     3.234
10 220 8 4 0     3.259
10 220 8 5 0     2.764
10 220 8 6 0     1.846
10 220 8 7 0     1.113
10 220 8 8 0     0.962
10 220 8 9 0     0.602
10 220 810 0     1.457
10 220 811 0     1.594
10 220 812 0     2.049
10 220 813 0     3.225
10 220 814 0     3.042
10 220 815 0     3.082
10 220 816 0     2.772
10 220 817 0     2.785
10 220 818 0     1.951
10 220 819 0     1.167
10 220 820 0     1.190
10 220 821 0     0.951
10 220 822 0     0.883
10 220 823 0     1.519
10 220 824 0     2.397
11 220 8 1 0     2.866
11 220 8 2 0     2.989
11 220 8 3 0     3.331
11 220 8 4 0     3.187
11 220 8 5 0     2.699
11 220 8 6 0     2.182
11 220 8 7 0     1.891
11 220 8 8 0     1.093
11 220 8 9 0     0.943
11 220 810 0     0.988
11 220 811 0     1.386
11 220 812 0     1.439
11 220 813 0     2.071
11 220 814 0     2.718
11 220 815 0     2.981
11 220 816 0     3.451
11 220 817 0     3.099
11 220 818 0     2.245
11 220 819 0     1.885
11 220 820 0     1.214
11 220 821 0     0.790
11 220 822 0     0.865
11 220 823 0     1.572
11 220 824 0     1.613
12 220 8 1 0     2.458
12 220 8 2 0     3.243
12 220 8 3 0     3.692
12 220 8 4 0     3.861
12 220 8 5 0     3.371
12 220 8 6 0     2.517
12 220 8 7 0     2.582
12 220 8 8 0     1.594
12 220 8 9 0     1.255
12 220 810 0     1.174
12 220 811 0     0.705
12 220 812 0     1.251
12 220 813 0     1.943
12 220 814 0     2.504
12 220 815 0     2.586
12 220 816 0     2.713
12 220 817 0     3.227
12 220 818 0     2.858
12 220 819 0     2.076
12 220 820 0     1.961
12 220 821 0     1.541
12 220 822 0     1.159
12 220 823 0     1.036
12 220 824 0     1.428
13 220 8 1 0     1.984
13 220 8 2 0     2.959
13 220 8 3 0     3.225
13 220 8 4 0     3.639
13 220 8 5 0     3.705
13 220 8 6 0     2.984
13 220 8 7 0     2.610
13 220 8 8 0     1.872
13 220 8 9 0     1.293
13 220 810 0     1.220
13 220 811 0     1.200
13 220 812 0     0.549
13 220 813 0     0.929
13 220 814 0     1.497
13 220 815 0     2.200
13 220 816 0     2.262
13 220 817 0     2.925
